current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Developer,RAAD-M,0.6,"React.js, Flutter, Python (Programming Language), Front-End Development, Core Java, MySQL, Bootstrap (Framework), Manual Testing, Selenium Testing, JavaScript, HTML, Cascading Style Sheets (CSS), User Experience (UX), User Interface Design, Web Design, Interaction Design, Engineering, Heuristic Evaluation, Mobile Interaction Design, Mobile Design, Experience Design, Competitive Analysis, Card Sorting, Wireframing, User Interface Prototyping, Usability Engineering, Paper Prototyping, Contextual Inquiry, User Scenarios, Task Analysis, Multi-Device Design, Site Maps",Bachelor's Of Engineering ,Appa Institute Of Engineering And Technology Kalaburagi(Gulbarga),"Software Development , Bridge UX Studio",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Agile Health Technologies,4.2,"Web Development, Web Design, Mobile Design, s, Android app developer and ios app developer , Mobile Application Development, Figma, Bootstrap, Android, iOS, React Native, HTML5, Responsive Web Design, Front-End Development, React.js, HTML, User Interface Design, Cascading Style Sheets (CSS)",Master of Computer Applications - MCA,CHAITANYA DEGREE & PG COLLEGE,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Chillnatural beverages pvt ltd ,0.5,"Shopify, Databases, Debugging, Troubleshooting, Software Development, Programming Languages, Amazon Web Services (AWS), Docker, AWS, Docker Products, Programming, Attention to Detail, Back-End Web Development, Web Applications, Web Development,  JavaScript ,  react js, Retrospectives, Problem Solving, Hooks, React Hooks, Startups, Continuous Integration and Continuous Delivery (CI/CD), Application Programming Interfaces (API), Mobile Applications, Computer Science, Responsive Web Design, HTML5, User Interface Design, React Native, Redux.js, Mongo Db, Express js, Node js, React js, REST APIs, Redux, Node JS, Express Js, Mongo DB, Mongoose, React Js, Redux , REST API, Google Apps Script, User Experience (UX), React.js, Redux TK, GitHub, Git, MongoDB, Express.js, Node.js, Front-End Development, HTML, Cascading Style Sheets (CSS), JavaScript, jQuery, Bootstrap, Adobe Photoshop, Figma (Software)",Bachelor's degree,Channabasaveshwara Institute of technology,Namaste Node JS,Bengaluru,Karnataka,India,frontendFinal
Software Engineer - A2,EPAM Systems,5.1,"React.js, JavaScript, Front-End Development, Redux.js, ES6, Redux Toolkit, Typescript, Jest, Debugging, Code Review, GitHub, Material-UI, React Hooks, Tailwind CSS, Node.js, HTML5 / CSS3, Git, Document Object Model (DOM), REST APIs, CSS, Problem Solving, Unit Testing, Sales, Communication, Business Development, Monitoring Tools, Datadog",Bachelor of Engineering - BE,"Basaveshwar Engineering College (A), Bagalkote","React & Typescript - The Practical Guide, React Testing Library & Jest, Building Reusable React, Learn TypeScript, Advanced React, Node.js Essential Training",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Simplex Solution Private Limited,3.0,"MySQL, Bootstrap (Framework), Express.js, Redux.js, jQuery UI, REACTJS, TypeScript, Front-End Development, Back-End Web Development, Database Management System (DBMS), Database Development, React.js, MongoDB, HTML5, JavaScript, Node.js, jQuery, Cascading Style Sheets (CSS), Web Development, Application Programming Interfaces (API)",Master of Computer Applications - MCA,"Biju Patnaik University of Technology, Odisha",,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,PFACTORIAL TECHNOLOGIES PVT LTD,1.2,"React.js, Tailwind CSS, Bootstrap (Framework), Node.js, HTML, Git, GitHub, HTML5, Cascading Style Sheets (CSS), JavaScript, AngularJS, Microsoft Visual Studio Code, Figma (Software), Problem Solving",Bachelor's degree,University of Calicut,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Project On Track,4.8,"Angular CLI, HTML5, Css, JavaScript, Eclipse, Postman API, Spring Boot, Bootstrap (Framework), TypeScript, Oracle Database, Servlets, Java, AngularJS, Engineering, Back-End Web Development, Front-end Design, Web Development",Bachelor in computer applications,Lakshya institute of technology,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,S3B Global,5.8,"Core Java, Operational Efficiency, Data Structures, React.js, Database Management System (DBMS), Venafi Platform, Operating Systems, Next.js, Express.js, JavaScript, Customer Retention, Relating to Clients, Badminton, RESTful WebServices, Software Development, MongoDB, Git, Listing Services, Vendor Management, Cascading Style Sheets (CSS), Redux.js, Job Applications, Virtualization, Product categories, Information Technology, Responsive Web Design, Job Satisfaction, Jobscope, Version Control Tools, Customer Experience, Embedded JavaScript (EJS), Toolkit, HTML, Booking Systems, Front-End Development, REST APIs, Scalable Web Applications, Tailwind CSS, Ultimate, Version Control, Platform Development, E-commerce SEO, Back-End Web Development, Multi-platform Development, Web Development, Engineering",Bachelor of Engineering - BE,Visvesvaraya Technological University,"Building Interactive JavaScript Websites Course, Learn Java Course, Learn React Course, Learn Intermediate JavaScript Course, Learn JavaScript Course, Code Foundations Skill Path, Learn Bootstrap Course, Learn CSS Course, Learn Git & GitHub Course, Learn HTML Course, Learn How to Code Course, Learn SQL Course, Learn the Command Line Course, Automation Pro I, Automation Pro II Certificate",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,IdeaGensys,0.4,"Java, Python (Programming Language), Programming",Bachelor of Engineering - BE,CMR Institute Of Technology,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,NEXTEONS,1.8,"Next.js, Turbo, HTML, REST APIs, Problem Solving, Design, Node.js, React.js, Express.js, JavaScript, HTML5, Cascading Style Sheets (CSS), Bootstrap, MongoDB",bca,Indira Gandhi National Open University,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Blueslag Technologies l  Shopify Partner Agency,1.2,"HTML,CSS,BOOTSTRAP,JAVASCRIPT,REACT",,,,Ujjain,Madhya Pradesh,India,frontendFinal
Software Engineer,Alstom,2.4,"HTML5, Object-Oriented Programming (OOP), C++, Git, XML, Angular Framework, HTML, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,Siddaganga Institute Of Technology,,Bengaluru,Karnataka,India,frontendFinal
Graduate Engineer Trainee,L&T Finance,0.7,"Programming Languages, Analytics, Microsoft Excel, Python (Programming Language), SQL, Algorithms, Software Development, Problem Solving, Programming, Analytical Skills, Java, Object-Oriented Programming (OOP), Front-End Development, HTML5, Cascading Style Sheets (CSS), JavaScript, UI/UX, Data Structures, Computer Science, Communication",,Jain (Deemed-to-be University),"Introduction to Generative AI, Basic Python Libraries Introduction, HTML, Introduction to Javascript, Java Programming, Javascript Intermediate, Python Programming",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Code Brew Labs,3.1,"TypeScript, React Native, Project Management, Communication, React.js, Web Development, Css, Core Java, JavaScript, HTML, Algorithms, Data Structures, SQL, C (Programming Language), Cascading Style Sheets (CSS), HTML5, Java, C++",Master of Computer Applications - MCA,Lovely Professional University,"Python 101 for Data science, Responsive Web Design",Chandīgarh,Chandigarh,India,frontendFinal
Frontend Developer,AppSierra,4.2,"Astro js, Debugging, Computer Science, Computer Programming, Next.js, Tailwind CSS, Front-End Development, Hackathon, AngularJS,, HTML, CSS, Angular, Angular Material, React js, SQL, Microsoft SQL Server, HTML5, Cascading Style Sheets (CSS), Bootstrap, JavaScript, jQuery, React.js, Node.js, MySQL, Web Development",Bachelor's degree,Madurai Kamaraj University,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Opineworks LLP,1.9,"Flask, Web Scraping, Vector databases, Full-Stack Development, Redux, Material-UI, Next.js, TypeScript, Prisma ORM, Cascading Style Sheets (CSS), Machine Learning, Project Management, Project Planning, HTML5, Web Development, React.js, JavaScript, Node.js, Python (Programming Language), Django, Microsoft PowerPoint",Bachelor of Engineering - BE,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",,Pune,Maharashtra,India,frontendFinal
Frontend Web Developer,UrbanNest,0.2,"Front-End Development, Verilog, Cadence Virtuoso",,"BITS Pilani, Hyderabad Campus",,Hyderābād,Telangana,India,frontendFinal
Frontend Developer,Springreen,2.8,"TypeScript, figma, Server Side JavaScript, Express.js, Leadership, Computer Networking, nextjs, nodejs, Agile Development, Business Requirements, Methodology, Object-Oriented Programming (OOP), Skill Development, PugJS, Firebase, C (Programming Language), Framer motion, react js, next js, Python (Programming Language), Next.js, MongoDB, JSON, GatsbyJS, Software Development, Front-End Development, styled-components, Tailwind CSS, npm, Npm, Node.js, Web Development, HTML, Front-end Coding, HTML5, Cascading Style Sheets (CSS), JavaScript, Bootstrap, MySQL, Web Design, React.js, SASS, Linux, SQL, Redux.js, Front-end Design, Responsive Web Design, Web Applications, Git, PHP, PhpMyAdmin, English, Adobe Lightroom",Web developer,Zero To Mastery Academy,"React Foundations for Next.js, Summer Hackathon '24 Hacker, MongoDB CRUD Operations: Replace and Delete Documents, MongoDB CRUD Operations: Insert and Find Documents, Connecting to MongoDB in Node.js, Getting Started with MongoDB Atlas, MongoDB Data Modeling Intro, MongoDB and the Document Model, Responsive Web Design, CSS, Coding for marketers, Html, Introduction to Programming Using Python, React, TryHackMe Badge ",,West Bengal,India,frontendFinal
Senior Software Engineer,Capgemini,7.8,"Reactjs, Axios, Redux, Microservices, Spring Boot, Java, Cascading Style Sheets (CSS), Tailwind CSS, Bootstrap (Framework), REST APIs, Git, Redux.js, HTML5, React.js, JavaScript",B.E,Karnataka Jobs and career,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Clear Street,6.9,"JavaScript, React.js, Vue.js, Front-End Development, Node.js, TypeScript, Next.js, Cascading Style Sheets (CSS), Bootstrap, Git, Flutter, Bitbucket, Digital Image Processing",Bachelor of Technology,UPES,"Cutshort Certified Javascript - Advanced, Cloud Computing and Virtualization Graduate, AMCAT Certified Creative Content Developer",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Traegen Systems Pvt.Ltd.,3.5,"MySQL, HTML5, Cascading Style Sheets (CSS), Material-UI, Tailwind CSS, Redux, TypeScript, GitHub, Amazon Web Services (AWS), MongoDB, Express.js, Node.js, JavaScript, React.js, MERN Stack, Artificial Intelligence (AI), Computer Ethics, Generative AI",The Web Development Bootcamp ,Newton School,"Career Essentials in Generative AI by Microsoft and LinkedIn, Full Stack Food Delivery Project, The Web Developer Bootcamp - Udemy",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Bridgestone Mobility Solutions,5.9,"React Hooks, styled components, Redux, zustand, Jest, React.js, AJAX, Version Control, Programming, Product Development, HTML, Problem Solving, Web Pages, JSON, Node.js, MongoDB, Bootstrap, Web Technologies, User Interface Design, Responsiveness, Software Development, SASS, Responsive Web Design, ECMAScript, Web Development, Software Documentation, Vanilla JavaScript, REST APIs, Angular, SQL Server Management Studio, ElementUI, Gitlab, Ionic Framework, Ionic, Core Java, JavaScript, SQL, HTML5, CSS, Data Structures, ASP.NET MVC, ASP.NET Web API, C#, TypeScript, Angular Material, Github, Git, Bitbucket, Vue.js, Element UI",Bachelor of Engineering - BE,"Dayananda Sagar College of Engineering, BANGALORE","JavaScript: Arrays, JavaScript: Scope, Angular-The big Picture, core java",Bengaluru,Karnataka,India,frontendFinal
Senior Experience Engineer,Publicis Sapient,10.0,"JavaScript, TypeScript, Redux.js, SCSS, Ruby, Ruby on Rails, Node.js, AngularJS, MongoDB, PostgreSQL, Python (Programming Language), Django, ElasticSearch, React.js",Master of Computer Applications - MCA,Thiagarajar College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
SDE-2 Frontend,Jio Platforms Limited (JPL),6.2,"Kubernetes, Containerization, Code Review, Web Application Development, Problem Solving, Front-End Development, Angular , TypeScript, JavaScript, Data Structures, D3.js, C3.js, RESTful WebServices, Angular Material, Version Control, Angular CLI, ECMAScript, Angular 8, Cascading Style Sheets (CSS), HTML, Bootstrap, AngularJS, Agile Methodologies, .NET Framework, SQL, Docker, Amazon ECS, Java, C#, C++, C, Git, GitHub, Data structure and algorithm, Team Collaboration, Web Development, Web Design, Building Trust, Interpersonal Communication",Bachelor of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal formerly WBUT","Container and Container Orchestration Fundamentals, HTML Essential Training, Communication within Teams, Introduction to Web Design and Development, The Three Pillars of Effective Communication",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Mphasis,3.3,"React, JavaScript, TypeScript, HTML5, CSS, Bootstrap (Framework), Redux, Context API, REST APIs, Webpack, Git, Material-UI, Babel, Firebase, Confluence, Document Object Model (DOM), Visual Studio, Software Development Life Cycle (SDLC), Scrum, Agile Methodologies, JSON, Npm, Microsoft Azure, HTML, React.js, Engineering, Communication, Problem Solving, Microsoft Excel, Tableau, SQL, Data Analytics, Google Cloud Platform (GCP), Cascading Style Sheets (CSS)",Bachelor of Technology - BTech,Lovely Professional University,,,Andhra Pradesh,India,frontendFinal
Software Engineering Trainee,OptiRise Software Pvt Ltd,5.7,"Full-Stack Development, Git, Model-View-Controller (MVC), ASP.NET Core, Critical Thinking, Design Thinking, Analytical Skills, Strategic Thinking, HTML, Cascading Style Sheets (CSS), JScript, Node.js, Angular, Microsoft Azure, SQL, Entity Framework, ASP.NET Web API, REST APIs, .NET Framework, ASP.NET, C#, Full Stack DOT NET DEVELOPER , ASP.NET MVC, Communication, Financial Analysis, Product Design, Time Management, Project Management, Project Planning, Manufacturing Process Improvement, Problem Solving, SOLIDWORKS, Research Skills, Microsoft PowerPoint, Microsoft Excel, Mechanical Engineering, Python (Programming Language), power bi, Microsoft Office, Technical Presentations",Bachelor of Technology - BTech,"Dr.K.V.Subba Reddy Institute of Technology, Kurnool",Fundamental of additive manufacturing ,Kurnool,Andhra Pradesh,India,frontendFinal
Senior Analyst,Accenture,5.3,"Leading Frontend React JS Team, Developing single page application , Web Design, Web Development, React Bootstrap ,  AG Grid,  Material UI , JSDoc for Documenting the JavaScript code, Karma Test Runner Tool to automate tests in jasmine testing, Unit Testing, Karma, Jasmine Framework, JSDoc, Redux.js, Tailwind CSS, Redux, Material-UI, C (Programming Language), Core Java, Python (Programming Language), MySQL, PHP, C++, HTML, Django, Linux, Java, Cascading Style Sheets (CSS), JavaScript, React.js",Bachelor of Engineering - BE,Sushila Devi Bansal College of Technology (SDBCT),"Agility and Scrum, Accenture Discovery Program , Business communication , Data Analytics Consulting Virtual Internship , Effective business website , Effective leadership , Effective presentation , English in the world today, Fundamental of Digital Marketing , Technology Consulting Virtual Internship , AI, Machine Learning and Data Science , BASIC ENGLISH 1: ELEMENTARY KING'S COLLEGE LONDON, Career Edge - Knockdown the Lockdown, DIGITAL SKILLS FOR WORK AND LIFE, DIGITAL SKILLS: SOCIAL MEDIA , Introduction to Conversational English , Machine Learning Bootcamp 2020, Communication skills , HTML fundamental course, Interview skills , Python 3 tutorial course ",Bengaluru,Karnataka,India,frontendFinal
